Name,Description,Duration,Remote Testing Support,Adaptive Support,Link
Numerical Reasoning Test,"Assesses the ability to interpret, analyze, and draw conclusions from numerical data",20 mins,Yes,Yes,https://www.shl.com/en/assessments/numerical-reasoning/
Verbal Reasoning Test,"Measures comprehension and interpretation of written texts",25 mins,Yes,No,https://www.shl.com/en/assessments/verbal-reasoning/
Logical Reasoning Test,"Assesses abstract and logical thinking using patterns and sequences",30 mins,Yes,Yes,https://www.shl.com/en/assessments/logical-reasoning/
Cognitive Ability Test,"Comprehensive assessment of multiple reasoning abilities",40 mins,Yes,Yes,https://www.shl.com/en/assessments/cognitive-ability/
Personality Questionnaire,"Analyzes personality traits for role fit",25 mins,Yes,Yes,https://www.shl.com/en/assessments/personality-questionnaire/
Coding Simulation,"Assesses real-world programming and debugging ability",60 mins,Yes,Yes,https://www.shl.com/en/assessments/coding-simulation/
Technical Skills Test,"Evaluates technical or job-specific knowledge",45 mins,Yes,No,https://www.shl.com/en/assessments/technical-skills/
Python Coding Test,"Evaluates Python programming and problem-solving skills",30 mins,Yes,Yes,https://www.shl.com/en/assessments/coding-simulation/
Java Coding Test,"Assesses Java development, syntax, and debugging skills",40 mins,Yes,Yes,https://www.shl.com/en/assessments/coding-simulation/
SQL Skills Test,"Tests ability to query and manipulate relational databases",30 mins,Yes,No,https://www.shl.com/en/assessments/technical-skills/
JavaScript Test,"Assesses knowledge of JavaScript syntax and DOM manipulation",25 mins,Yes,No,https://www.shl.com/en/assessments/technical-skills/
Workplace Behavior Assessment,"Measures workplace behaviors, motivation, and culture fit",25 mins,Yes,No,https://www.shl.com/en/assessments/workplace-behavior/
Situational Judgment Test,"Evaluates judgment and decision-making in workplace scenarios",20 mins,Yes,No,https://www.shl.com/en/assessments/situational-judgement/
Inductive Reasoning Test,"Assesses pattern recognition and problem-solving",30 mins,Yes,Yes,https://www.shl.com/en/assessments/inductive-reasoning/
Deductive Reasoning Test,"Assesses ability to apply general rules to specific problems",30 mins,Yes,Yes,https://www.shl.com/en/assessments/deductive-reasoning/
Gamified Assessment,"Uses game-like tasks to assess problem-solving and memory",30 mins,Yes,Yes,https://www.shl.com/en/assessments/gamified-assessment/
Leadership Assessment,"Evaluates leadership potential and decision-making",50 mins,Yes,Yes,https://www.shl.com/en/assessments/leadership/
Sales Skills Assessment,"Measures persuasion, negotiation, and client engagement",35 mins,Yes,No,https://www.shl.com/en/assessments/sales-skills/
